"Date","Various bitcoin currency statistics"
"2011-02-05",79984.525
"2011-02-06",66778.551
"2011-02-07",175102.385
"2011-02-08",73028.918
"2011-02-09",84880.269
"2011-02-10",238910.283
"2011-02-11",266155.717
"2011-02-12",160649.733
"2011-02-13",120512.592
"2011-02-14",112566.04
"2011-02-15",134265.102
"2011-02-16",79208.876
"2011-02-17",98007.543
"2011-02-18",114822.03
"2011-02-19",185159.234
"2011-02-20",211556.62
"2011-02-21",234954.48
"2011-02-22",215033.45
"2011-02-23",524405.133
"2011-02-24",219771.568
"2011-02-25",204983.109
"2011-02-26",187552.791
"2011-02-27",203856.749
"2011-02-28",124226.538
"2011-03-01",996104.824
"2011-03-02",1775312.644
"2011-03-03",951257.813
"2011-03-04",255314.989
"2011-03-05",198745.643
"2011-03-06",199347.465
"2011-03-07",236085.492
"2011-03-08",163024.886
"2011-03-09",243670.886
"2011-03-10",267187.873
"2011-03-11",370094.695
"2011-03-12",150036.54
"2011-03-13",211035.151
"2011-03-14",212568.108
"2011-03-15",128279.008
"2011-03-16",152458.154
"2011-03-17",174677.665
"2011-03-18",174095.308
"2011-03-19",140795.185
"2011-03-20",122537.414
"2011-03-21",164254.451
"2011-03-22",207804.872
"2011-03-23",222690.267
"2011-03-24",260657.815
"2011-03-25",233298.861
"2011-03-26",408306.665
"2011-03-27",171128.366
"2011-03-28",157029.052
"2011-03-29",126173.793
"2011-03-30",116933.288
"2011-03-31",158393.792
"2011-04-01",90372.373
"2011-04-02",87625.226
"2011-04-03",107196.001
"2011-04-04",127820.088
"2011-04-05",151570.137
"2011-04-06",94074.968
"2011-04-07",122171.951
"2011-04-08",131707.385
"2011-04-09",145607.408
"2011-04-10",103251.128
"2011-04-11",85909.93
"2011-04-12",137646.132
"2011-04-13",191554.51
"2011-04-14",126115.712
"2011-04-15",141473.838
"2011-04-16",287525.976
"2011-04-17",1376826.729
"2011-04-18",132199.675
"2011-04-19",2177926.085
"2011-04-20",5272339.948
"2011-04-21",136189.275
"2011-04-22",465318.836
"2011-04-23",136771.929
"2011-04-24",164011.87
"2011-04-25",103284.593
"2011-04-26",146695.908
"2011-04-27",206468.007
"2011-04-28",232588.937
"2011-04-29",771476.075
"2011-04-30",400623.652
"2011-05-01",203700.348
"2011-05-02",131622.775
"2011-05-03",180504.065
"2011-05-04",305517.585
"2011-05-05",159916.092
"2011-05-06",224152.476
"2011-05-07",299762.894
"2011-05-08",338722.111
"2011-05-09",380676.633
"2011-05-10",566091.45
"2011-05-11",185354.499
"2011-05-12",212128.262
"2011-05-13",467029.439
"2011-05-14",1691796.399
"2011-05-15",442071.43
"2011-05-16",207534.754
"2011-05-17",297603.683
"2011-05-18",187535.907
"2011-05-19",166850.211
"2011-05-20",319316.988
"2011-05-21",694878.546
"2011-05-22",902283.639
"2011-05-23",462051.836
"2011-05-24",332288.155
"2011-05-25",407506.826
"2011-05-26",434392.782
"2011-05-27",596236.988
"2011-05-28",235608.589
"2011-05-29",262939.812
"2011-05-30",262665.656
"2011-05-31",295010.675
"2011-06-01",259862.311
"2011-06-02",330587.281
"2011-06-03",600652.184
"2011-06-04",514581.681
"2011-06-05",486337.051
"2011-06-06",834087.583
"2011-06-07",570308.895
"2011-06-08",682341.045
"2011-06-09",791144.466
"2011-06-10",865325.443
"2011-06-11",1390639.189
"2011-06-12",1875945.146
"2011-06-13",1307769.209
"2011-06-14",1555268.183
"2011-06-15",2041254.366
"2011-06-16",9235676.426
"2011-06-17",2938717.202
"2011-06-18",1375764.237
"2011-06-19",1301575.104
"2011-06-20",5015069.734
"2011-06-21",1307009.068
"2011-06-22",3232503.743
"2011-06-23",1682473.312
"2011-06-24",4528661.415
"2011-06-25",6997337.31
"2011-06-26",6549819.135
"2011-06-27",2876425.88
"2011-06-28",4785676.894
"2011-06-29",5122234.927
"2011-06-30",1678315.564
"2011-07-01",1261003.584
"2011-07-02",927541.145
"2011-07-03",475146.28
"2011-07-04",1503044.186
"2011-07-05",339654.716
"2011-07-06",641728.814
"2011-07-07",471109.266
"2011-07-08",351140.058
"2011-07-09",1209556.871
"2011-07-10",3308051.513
"2011-07-11",1007736.374
"2011-07-12",693214.979
"2011-07-13",1210875.08
"2011-07-14",1118040.127
"2011-07-15",2069623.204
"2011-07-16",462605.07
"2011-07-17",1043977.128
"2011-07-18",1191448.452
"2011-07-19",3298360.477
"2011-07-20",2284316.438
"2011-07-21",1472833.918
"2011-07-22",717267.659
"2011-07-23",1131999.892
"2011-07-24",640016.22
"2011-07-25",1478082.668
"2011-07-26",1233720.075
"2011-07-27",1008445.949
"2011-07-28",2869315.945
"2011-07-29",1609180.881
"2011-07-30",374677.143
"2011-07-31",585272.9
"2011-08-01",398551.885
"2011-08-02",541433.951
"2011-08-03",423218.633
"2011-08-04",346382.128
"2011-08-05",443829.868
"2011-08-06",393965.598
"2011-08-07",383287.172
"2011-08-08",775351.591
"2011-08-09",2787550.074
"2011-08-10",952897.318
"2011-08-11",686891.885
"2011-08-12",350528.309
"2011-08-13",326912.933
"2011-08-14",431809.418
"2011-08-15",348419.196
"2011-08-16",337473.259
"2011-08-17",339782.977
"2011-08-18",429956.37
"2011-08-19",564623.056
"2011-08-20",245694.386
"2011-08-21",237932.12
"2011-08-22",294077.746
"2011-08-23",435943.323
"2011-08-24",552500.411
"2011-08-25",394895.949
"2011-08-26",278481.531
"2011-08-27",2731977.811
"2011-08-28",196781.46
"2011-08-29",235746.913
"2011-08-30",243490.765
"2011-08-31",267606.556
"2011-09-01",346068.218
"2011-09-02",243024.952
"2011-09-03",241946.117
"2011-09-04",1672147.942
"2011-09-05",1727494.293
"2011-09-06",3276984.707
"2011-09-07",1079147.894
"2011-09-08",384196.015
"2011-09-09",414417.272
"2011-09-10",313641.363
"2011-09-11",1007931.349
"2011-09-12",633133.724
"2011-09-13",341538.87
"2011-09-14",337226.503
"2011-09-15",248417.394
"2011-09-16",535163.492
"2011-09-17",527059.174
"2011-09-18",300685.942
